Sample Type,Year,Month,Species,Treatment,Subsample #,Tree ID#s,Lab ID,%wt Bsi
Green Leaf,2014,7,ACRU,Heated,1,"32, 16, 134, 29, 132",G61,1.112773265
Green Leaf,2014,7,ACRU,Heated,2,"32, 16, 134, 29, 132",G62,1.115722931
Green Leaf,2014,7,ACRU,Heated,3,"32, 16, 134, 29, 132",G63,1.166410341
Green Leaf,2014,7,ACRU,Control,1,"421, 347, 393, 353, 349",G64,0.91504213
Green Leaf,2014,7,ACRU,Control,2,"421, 347, 393, 353, 349",G65,0.906127027
Green Leaf,2014,7,ACRU,Control,3,"421, 347, 393, 353, 349",G66,0.94533856
Green Leaf,2014,7,QURU,Heated,1,"42, 91, 107, 27, 11",G67,0.368373644
Green Leaf,2014,7,QURU,Heated,2,"42, 91, 107, 27, 11",G68,0.329636586
Green Leaf,2014,7,QURU,Heated,3,"42, 91, 107, 27, 11",G69,0.368376815
Green Leaf,2014,7,QURU,Control,1,"342, 376, 385, 241, 351",G70,0.333513936
Green Leaf,2014,7,QURU,Control,2,"342, 376, 385, 241, 351",G71,0.369579393
Green Leaf,2014,7,QURU,Control,3,"342, 376, 385, 241, 351",G72,0.340576078
Green Leaf,2016,7,ACRU,Heated,1,"29, 32, 134, 156, 121",G73,1.013810006
Green Leaf,2016,7,ACRU,Heated,2,"29, 32, 134, 156, 121",G74,0.999635394
Green Leaf,2016,7,ACRU,Heated,3,"29, 32, 134, 156, 121",G75,1.045485291
Green Leaf,2016,7,ACRU,Control,1,"347, 353, 393, 414, 356",G76,1.046158401
Green Leaf,2016,7,ACRU,Control,2,"347, 353, 393, 414, 356",G77,1.098684621
Green Leaf,2016,7,ACRU,Control,3,"347, 353, 393, 414, 356",G78,1.056358865
Green Leaf,2016,7,QURU,Heated,1,"27, 107, 42, 91, 11",G79,0.336163857
Green Leaf,2016,7,QURU,Heated,2,"27, 107, 42, 91, 11",G80,0.345701491
Green Leaf,2016,7,QURU,Heated,3,"27, 107, 42, 91, 11",G81,0.340165858
Green Leaf,2016,7,QURU,Control,1,"385, 342, 241, 351, 376",G82,0.35246068
Green Leaf,2016,7,QURU,Control,2,"385, 342, 241, 351, 376",G83,0.415540916
Green Leaf,2016,7,QURU,Control,3,"385, 342, 241, 351, 376",G84,0.351151593
